model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
qwen,sum,fb237_v1_ind_seed7001,50,500.0,16,7001,0.5855,0.5654,0.5533,0.7083,0.6889,0.5654,0.771,0.8785,31.9,Reach max iteration 50 | best_iter=25
qwen,sum,fb237_v1_ind_seed7005,50,500.0,16,7005,0.5211,0.519,0.5588,0.66,0.6566,0.519,0.7571,0.8571,32.7,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v1_ind_seed7009,50,500.0,16,7009,0.5279,0.57,0.5495,0.6866,0.6917,0.57,0.7778,0.8937,31.8,Reach max iteration 50 | best_iter=50
qwen,sum,fb237_v1_ind_seed7001,50,500.0,32,7001,0.6373,0.6168,0.6149,0.7472,0.7383,0.6168,0.8318,0.9252,32.0,Reach max iteration 50 | best_iter=37
qwen,sum,fb237_v1_ind_seed7005,50,500.0,32,7005,0.5869,0.5667,0.6214,0.7243,0.7037,0.5667,0.819,0.9095,32.0,Reach max iteration 50 | best_iter=19
qwen,sum,fb237_v1_ind_seed7009,50,500.0,32,7009,0.5838,0.6232,0.61,0.723,0.7434,0.6232,0.8213,0.9179,32.3,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v1_ind_seed7001,50,500.0,48,7001,0.6632,0.6308,0.6475,0.7671,0.753,0.6308,0.8505,0.9252,32.8,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v1_ind_seed7005,50,500.0,48,7005,0.6338,0.6,0.6547,0.7507,0.7341,0.6,0.8429,0.9286,33.0,Reach max iteration 50 | best_iter=14
qwen,sum,fb237_v1_ind_seed7009,50,500.0,48,7009,0.6091,0.6618,0.6505,0.743,0.7692,0.6618,0.8454,0.9227,32.9,Reach max iteration 50 | best_iter=10
qwen,sum,fb237_v1_ind_seed7001,50,500.0,64,7001,0.6684,0.6589,0.666,0.7726,0.7696,0.6589,0.8551,0.9299,33.9,Reach max iteration 50 | best_iter=22
qwen,sum,fb237_v1_ind_seed7005,50,500.0,64,7005,0.6432,0.6048,0.6603,0.7581,0.7313,0.6048,0.8286,0.9238,36.4,Reach max iteration 50 | best_iter=29
qwen,sum,fb237_v1_ind_seed7009,50,500.0,64,7009,0.6193,0.6763,0.6565,0.7518,0.7832,0.6763,0.8647,0.9275,35.8,Reach max iteration 50 | best_iter=39
qwen,sum,fb237_v1_ind_seed7001,50,500.0,80,7001,0.6891,0.6682,0.6795,0.7886,0.7767,0.6682,0.8645,0.9393,41.9,Reach max iteration 50 | best_iter=43
qwen,sum,fb237_v1_ind_seed7005,50,500.0,80,7005,0.6479,0.619,0.679,0.7684,0.7448,0.619,0.8381,0.9381,39.4,Reach max iteration 50 | best_iter=11
qwen,sum,fb237_v1_ind_seed7009,50,500.0,80,7009,0.6244,0.7005,0.678,0.7583,0.7976,0.7005,0.8696,0.9372,38.3,Reach max iteration 50 | best_iter=41
qwen,sum,fb237_v1_ind_seed7001,50,500.0,96,7001,0.6943,0.6636,0.686,0.7882,0.7769,0.6636,0.8645,0.9533,42.7,Reach max iteration 50 | best_iter=36
qwen,sum,fb237_v1_ind_seed7005,50,500.0,96,7005,0.662,0.6333,0.6931,0.7755,0.7563,0.6333,0.8524,0.9476,42.4,Reach max iteration 50 | best_iter=10
qwen,sum,fb237_v1_ind_seed7009,50,500.0,96,7009,0.6294,0.7005,0.6865,0.7657,0.7972,0.7005,0.8696,0.942,42.3,Reach max iteration 50 | best_iter=29
qwen,sum,fb237_v1_ind_seed7001,50,1000.0,16,7001,0.3057,0.2617,0.2794,0.4457,0.4223,0.2617,0.4813,0.7243,29.6,Reach max iteration 50 | best_iter=1
qwen,sum,fb237_v1_ind_seed7005,50,1000.0,16,7005,0.2676,0.2619,0.2792,0.4075,0.414,0.2619,0.481,0.7667,21.3,Reach max iteration 50 | best_iter=1
qwen,sum,fb237_v1_ind_seed7009,50,1000.0,16,7009,0.2843,0.2947,0.294,0.4331,0.427,0.2947,0.4783,0.6763,29.8,Reach max iteration 50 | best_iter=47
qwen,sum,fb237_v1_ind_seed7001,50,1000.0,32,7001,0.4611,0.4346,0.4186,0.5722,0.5703,0.4346,0.6449,0.8131,30.4,Reach max iteration 50 | best_iter=43
qwen,sum,fb237_v1_ind_seed7005,50,1000.0,32,7005,0.3568,0.3762,0.4316,0.5112,0.5251,0.3762,0.5857,0.7905,29.9,Reach max iteration 50 | best_iter=19
qwen,sum,fb237_v1_ind_seed7009,50,1000.0,32,7009,0.2944,0.285,0.3205,0.4199,0.4194,0.285,0.4638,0.6908,29.2,Reach max iteration 50 | best_iter=32
qwen,sum,fb237_v1_ind_seed7001,50,1000.0,48,7001,0.4974,0.4626,0.4652,0.6164,0.6068,0.4626,0.6963,0.8411,29.7,Reach max iteration 50 | best_iter=13
qwen,sum,fb237_v1_ind_seed7005,50,1000.0,48,7005,0.4131,0.3952,0.4573,0.56,0.5591,0.3952,0.681,0.8333,30.3,Reach max iteration 50 | best_iter=38
qwen,sum,fb237_v1_ind_seed7009,50,1000.0,48,7009,0.4162,0.4396,0.4425,0.5744,0.5869,0.4396,0.6908,0.8502,29.9,Reach max iteration 50 | best_iter=28
qwen,sum,fb237_v1_ind_seed7001,50,1000.0,64,7001,0.5233,0.5,0.4997,0.6466,0.6451,0.5,0.7383,0.8645,30.1,Reach max iteration 50 | best_iter=48
