model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
roberta,sum,fb237_v2_ind_seed7005,50,1000.0,64,7005,0.5558,0.5714,0.5624,0.6791,0.696,0.5714,0.7752,0.8887,73.2,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7009,50,1000.0,64,7009,0.5696,0.5388,0.577,0.6905,0.6665,0.5388,0.7586,0.8922,72.4,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7001,50,1000.0,80,7001,0.5683,0.5842,0.5771,0.7004,0.7059,0.5842,0.7932,0.8998,75.9,Reach max iteration 50 | best_iter=7
roberta,sum,fb237_v2_ind_seed7005,50,1000.0,80,7005,0.5579,0.5777,0.5863,0.692,0.712,0.5777,0.813,0.9223,77.8,Reach max iteration 50 | best_iter=18
roberta,sum,fb237_v2_ind_seed7009,50,1000.0,80,7009,0.5717,0.5388,0.5886,0.6984,0.6719,0.5388,0.7694,0.9009,97.5,Reach max iteration 50 | best_iter=39
roberta,sum,fb237_v2_ind_seed7001,50,1000.0,96,7001,0.577,0.6034,0.5867,0.7123,0.7198,0.6034,0.8017,0.9126,87.9,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v2_ind_seed7005,50,1000.0,96,7005,0.5811,0.6008,0.5953,0.7037,0.7238,0.6008,0.813,0.9244,87.8,Reach max iteration 50 | best_iter=14
roberta,sum,fb237_v2_ind_seed7009,50,1000.0,96,7009,0.5824,0.5474,0.5955,0.7072,0.6812,0.5474,0.7759,0.9181,84.6,Reach max iteration 50 | best_iter=25
roberta,sum,fb237_v2_ind_seed7001,75,1.0,16,7001,0.5879,0.5906,0.9154,0.7332,0.7388,0.5906,0.8742,0.9446,195.0,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v2_ind_seed7005,75,1.0,16,7005,0.6105,0.5651,0.9126,0.7494,0.7241,0.5651,0.8739,0.937,188.6,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7009,75,1.0,16,7009,0.5546,0.5582,0.9147,0.7133,0.7085,0.5582,0.8319,0.9353,194.6,Reach max iteration 50 | best_iter=49
roberta,sum,fb237_v2_ind_seed7001,75,1.0,32,7001,0.5727,0.5949,0.9154,0.7268,0.7343,0.5949,0.8593,0.9424,188.6,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7005,75,1.0,32,7005,0.6147,0.5861,0.9123,0.7517,0.7354,0.5861,0.855,0.9601,194.2,Reach max iteration 50 | best_iter=48
